match_id,date,home_team,away_team,year,is_2026,home_avg_age,away_avg_age,diff_avg_age,home_min_age,away_min_age,diff_min_age,home_max_age,away_max_age,diff_max_age,home_peak_age_count,away_peak_age_count,diff_peak_age_count,home_squad_size,away_squad_size,diff_squad_size,home_avg_caps,away_avg_caps,diff_avg_caps,home_total_caps,away_total_caps,diff_total_caps,home_max_caps,away_max_caps,diff_max_caps,home_total_national_goals,away_total_national_goals,diff_total_national_goals,home_avg_national_goals,away_avg_national_goals,diff_avg_national_goals,home_top_league_count,away_top_league_count,diff_top_league_count,home_top_league_ratio,away_top_league_ratio,diff_top_league_ratio,home_avg_height_cm,away_avg_height_cm,diff_avg_height_cm,home_avg_weight_kg,away_avg_weight_kg,diff_avg_weight_kg,home_gk_count,away_gk_count,diff_gk_count,home_def_count,away_def_count,diff_def_count,home_mid_count,away_mid_count,diff_mid_count,home_fwd_count,away_fwd_count,diff_fwd_count,home_total_goals_scored,away_total_goals_scored,diff_total_goals_scored,home_avg_goals_scored,away_avg_goals_scored,diff_avg_goals_scored,home_top_scorer_goals,away_top_scorer_goals,diff_top_scorer_goals,home_fifa_rank,away_fifa_rank,diff_fifa_rank,home_fifa_points,away_fifa_points,diff_fifa_points,is_neutral_venue,is_knockout,stage_encoded,home_rest_days,away_rest_days,diff_rest_days,home_score,away_score,total_goals,result
537327,2026-06-11,Mexico,South Africa,2026,1,27.5,26.384615384615383,1.1153846153846168,17.0,20.0,-3.0,40.0,36.0,4.0,13.0,11.0,2.0,26.0,26.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,5.0,2.0,3.0,0.2,0.08,0.12000000000000001,,,,,,,3.0,3.0,0.0,7.0,11.0,-4.0,8.0,4.0,4.0,8.0,8.0,0.0,,,,,,,,,,16.0,60.0,-44.0,1629.0,1310.0,319.0,1,0,0,7.0,7.0,0.0,2.0,0.0,2.0,1.0
537328,2026-06-12,South Korea,Czechia,2026,1,27.653846153846153,27.23076923076923,0.42307692307692335,22.0,18.0,4.0,35.0,35.0,0.0,15.0,12.0,3.0,26.0,26.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,7.0,7.0,0.0,0.28,0.28,0.0,,,,,,,3.0,3.0,0.0,10.0,9.0,1.0,10.0,7.0,3.0,3.0,7.0,-4.0,,,,,,,,,,18.0,,,1607.0,,,1,0,0,7.0,7.0,0.0,2.0,1.0,3.0,1.0
537333,2026-06-12,Canada,Bosnia-Herzegovina,2026,1,25.8125,26.384615384615383,-0.5721153846153832,20.0,18.0,2.0,33.0,40.0,-7.0,16.0,13.0,3.0,32.0,26.0,6.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,14.0,11.0,3.0,0.5384615384615384,0.4583333333333333,0.08012820512820512,,,,,,,3.0,3.0,0.0,12.0,8.0,4.0,11.0,10.0,1.0,6.0,5.0,1.0,,,,,,,,,,19.0,,,1595.0,,,1,0,0,7.0,7.0,0.0,1.0,1.0,2.0,0.0
537345,2026-06-13,United States,Paraguay,2026,1,26.423076923076923,28.53846153846154,-2.1153846153846168,21.0,20.0,1.0,38.0,38.0,0.0,18.0,11.0,7.0,26.0,26.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,14.0,5.0,9.0,0.56,0.2,0.36000000000000004,,,,,,,3.0,3.0,0.0,10.0,8.0,2.0,6.0,9.0,-3.0,7.0,6.0,1.0,,,,,,,,,,,50.0,,,1370.0,,1,0,0,7.0,7.0,0.0,4.0,1.0,5.0,1.0
537334,2026-06-13,Qatar,Switzerland,2026,1,28.923076923076923,27.807692307692307,1.1153846153846168,19.0,20.0,-1.0,36.0,34.0,2.0,11.0,14.0,-3.0,26.0,26.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1.0,24.0,-23.0,0.038461538461538464,1.0,-0.9615384615384616,,,,,,,3.0,3.0,0.0,9.0,8.0,1.0,5.0,9.0,-4.0,9.0,6.0,3.0,,,,,,,,,,37.0,15.0,22.0,1440.0,1641.0,-201.0,1,0,0,7.0,7.0,0.0,1.0,1.0,2.0,0.0
537339,2026-06-13,Brazil,Morocco,2026,1,28.653846153846153,25.884615384615383,2.76923076923077,19.0,18.0,1.0,38.0,37.0,1.0,12.0,12.0,0.0,26.0,26.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,14.0,16.0,-2.0,0.5384615384615384,0.6666666666666666,-0.1282051282051282,,,,,,,3.0,3.0,0.0,9.0,9.0,0.0,5.0,7.0,-2.0,9.0,7.0,2.0,,,,,,,,,,4.0,12.0,-8.0,1782.0,1685.0,97.0,1,0,0,7.0,7.0,0.0,1.0,1.0,2.0,0.0
537340,2026-06-14,Haiti,Scotland,2026,1,27.076923076923077,28.96153846153846,-1.8846153846153832,20.0,20.0,0.0,38.0,43.0,-5.0,18.0,12.0,6.0,26.0,26.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,8.0,15.0,-7.0,0.42105263157894735,0.5769230769230769,-0.15587044534412953,,,,,,,3.0,3.0,0.0,8.0,10.0,-2.0,6.0,8.0,-2.0,9.0,5.0,4.0,,,,,,,,,,85.0,30.0,55.0,1180.0,1490.0,-310.0,1,0,0,7.0,7.0,0.0,0.0,1.0,1.0,-1.0
537346,2026-06-14,Australia,Turkey,2026,1,26.884615384615383,27.23076923076923,-0.3461538461538467,18.0,20.0,-2.0,35.0,37.0,-2.0,9.0,14.0,-5.0,26.0,26.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,9.0,9.0,0.0,0.42857142857142855,0.36,0.06857142857142856,,,,,,,3.0,3.0,0.0,10.0,9.0,1.0,5.0,5.0,0.0,8.0,9.0,-1.0,,,,,,,,,,20.0,,,1584.0,,,1,0,0,7.0,7.0,0.0,2.0,0.0,2.0,1.0
537351,2026-06-14,Germany,Curaçao,2026,1,27.53846153846154,27.53846153846154,0.0,18.0,22.0,-4.0,40.0,37.0,3.0,12.0,14.0,-2.0,26.0,26.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,25.0,3.0,22.0,0.9615384615384616,0.125,0.8365384615384616,,,,,,,3.0,3.0,0.0,7.0,8.0,-1.0,12.0,7.0,5.0,4.0,8.0,-4.0,,,,,,,,,,9.0,,,1728.0,,,1,0,0,7.0,7.0,0.0,7.0,1.0,8.0,1.0
537357,2026-06-14,Netherlands,Japan,2026,1,27.26923076923077,27.192307692307693,0.07692307692307665,20.0,21.0,-1.0,35.0,39.0,-4.0,16.0,18.0,-2.0,26.0,26.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,22.0,13.0,9.0,0.8461538461538461,0.5652173913043478,0.28093645484949836,,,,,,,3.0,3.0,0.0,8.0,9.0,-1.0,8.0,8.0,0.0,7.0,6.0,1.0,,,,,,,,,,7.0,14.0,-7.0,1742.0,1658.0,84.0,1,0,0,7.0,7.0,0.0,2.0,2.0,4.0,0.0
