match_id,date,home_team,away_team,year,is_2026,home_avg_age,away_avg_age,diff_avg_age,home_min_age,away_min_age,diff_min_age,home_max_age,away_max_age,diff_max_age,home_peak_age_count,away_peak_age_count,diff_peak_age_count,home_squad_size,away_squad_size,diff_squad_size,home_avg_caps,away_avg_caps,diff_avg_caps,home_total_caps,away_total_caps,diff_total_caps,home_max_caps,away_max_caps,diff_max_caps,home_total_national_goals,away_total_national_goals,diff_total_national_goals,home_avg_national_goals,away_avg_national_goals,diff_avg_national_goals,home_top_league_count,away_top_league_count,diff_top_league_count,home_top_league_ratio,away_top_league_ratio,diff_top_league_ratio,home_avg_height_cm,away_avg_height_cm,diff_avg_height_cm,home_avg_weight_kg,away_avg_weight_kg,diff_avg_weight_kg,home_gk_count,away_gk_count,diff_gk_count,home_def_count,away_def_count,diff_def_count,home_mid_count,away_mid_count,diff_mid_count,home_fwd_count,away_fwd_count,diff_fwd_count,home_total_goals_scored,away_total_goals_scored,diff_total_goals_scored,home_avg_goals_scored,away_avg_goals_scored,diff_avg_goals_scored,home_top_scorer_goals,away_top_scorer_goals,diff_top_scorer_goals,home_fifa_rank,away_fifa_rank,diff_fifa_rank,home_fifa_points,away_fifa_points,diff_fifa_points,is_neutral_venue,is_knockout,stage_encoded,home_rest_days,away_rest_days,diff_rest_days,home_score,away_score,total_goals,result
537355,2026-06-25,Ecuador,Germany,2026,1,25.576923076923077,27.53846153846154,-1.9615384615384635,19.0,18.0,1.0,39.0,40.0,-1.0,15.0,12.0,3.0,26.0,26.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,7.0,25.0,-18.0,0.3181818181818182,0.9615384615384616,-0.6433566433566433,,,,,,,3.0,3.0,0.0,8.0,7.0,1.0,8.0,12.0,-4.0,7.0,4.0,3.0,,,,,,,,,,35.0,9.0,26.0,1445.0,1728.0,-283.0,1,0,0,4.0,5.0,-1.0,,,,
537356,2026-06-25,Curaçao,Ivory Coast,2026,1,27.53846153846154,25.192307692307693,2.3461538461538467,22.0,19.0,3.0,37.0,34.0,3.0,14.0,13.0,1.0,26.0,26.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,3.0,13.0,-10.0,0.125,0.65,-0.525,,,,,,,3.0,3.0,0.0,8.0,8.0,0.0,7.0,6.0,1.0,8.0,9.0,-1.0,,,,,,,,,,,33.0,,,1460.0,,1,0,0,4.0,5.0,-1.0,,,,
537361,2026-06-25,Tunisia,Netherlands,2026,1,26.153846153846153,27.26923076923077,-1.1153846153846168,18.0,20.0,-2.0,32.0,35.0,-3.0,11.0,16.0,-5.0,26.0,26.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,9.0,22.0,-13.0,0.4090909090909091,0.8461538461538461,-0.43706293706293703,,,,,,,3.0,3.0,0.0,9.0,8.0,1.0,7.0,8.0,-1.0,7.0,7.0,0.0,,,,,,,,,,27.0,7.0,20.0,1515.0,1742.0,-227.0,1,0,0,4.0,5.0,-1.0,,,,
537362,2026-06-25,Japan,Sweden,2026,1,27.192307692307693,26.923076923076923,0.26923076923077005,21.0,20.0,1.0,39.0,36.0,3.0,18.0,17.0,1.0,26.0,26.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,13.0,18.0,-5.0,0.5652173913043478,0.782608695652174,-0.21739130434782616,,,,,,,3.0,3.0,0.0,9.0,10.0,-1.0,8.0,6.0,2.0,6.0,7.0,-1.0,,,,,,,,,,14.0,18.0,-4.0,1658.0,1607.0,51.0,1,0,0,4.0,5.0,-1.0,,,,
537349,2026-06-26,Turkey,United States,2026,1,27.23076923076923,26.423076923076923,0.8076923076923066,20.0,21.0,-1.0,37.0,38.0,-1.0,14.0,18.0,-4.0,26.0,26.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,9.0,14.0,-5.0,0.36,0.56,-0.20000000000000007,,,,,,,3.0,3.0,0.0,9.0,10.0,-1.0,5.0,6.0,-1.0,9.0,7.0,2.0,,,,,,,,,,,,,,,,1,0,0,6.0,7.0,-1.0,,,,
537350,2026-06-26,Paraguay,Australia,2026,1,28.53846153846154,26.884615384615383,1.6538461538461569,20.0,18.0,2.0,38.0,35.0,3.0,11.0,9.0,2.0,26.0,26.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,5.0,9.0,-4.0,0.2,0.42857142857142855,-0.22857142857142854,,,,,,,3.0,3.0,0.0,8.0,10.0,-2.0,9.0,5.0,4.0,6.0,8.0,-2.0,,,,,,,,,,50.0,20.0,30.0,1370.0,1584.0,-214.0,1,0,0,6.0,7.0,-1.0,,,,
537395,2026-06-26,Norway,France,2026,1,26.346153846153847,26.576923076923077,-0.23076923076922995,21.0,20.0,1.0,35.0,35.0,0.0,17.0,14.0,3.0,26.0,26.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,19.0,24.0,-5.0,0.7916666666666666,0.9230769230769231,-0.1314102564102565,,,,,,,3.0,3.0,0.0,9.0,9.0,0.0,11.0,5.0,6.0,3.0,9.0,-6.0,,,,,,,,,,,2.0,,,1851.0,,1,0,0,3.0,4.0,-1.0,,,,
537396,2026-06-26,Senegal,Iraq,2026,1,26.615384615384617,26.653846153846153,-0.03846153846153655,18.0,22.0,-4.0,36.0,35.0,1.0,8.0,13.0,-5.0,26.0,26.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,20.0,2.0,18.0,0.7692307692307693,0.07692307692307693,0.6923076923076923,,,,,,,3.0,3.0,0.0,8.0,9.0,-1.0,7.0,7.0,0.0,8.0,7.0,1.0,,,,,,,,,,,58.0,,,1325.0,,1,0,0,3.0,4.0,-1.0,,,,
537408,2026-06-27,Congo DR,Uzbekistan,2026,1,28.307692307692307,27.96153846153846,0.3461538461538467,21.0,18.0,3.0,35.0,35.0,0.0,14.0,12.0,2.0,26.0,26.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,13.0,1.0,12.0,0.5416666666666666,0.038461538461538464,0.5032051282051282,,,,,,,3.0,3.0,0.0,9.0,10.0,-1.0,9.0,10.0,-1.0,5.0,3.0,2.0,,,,,,,,,,,69.0,,,1270.0,,1,0,0,3.0,4.0,-1.0,,,,
537407,2026-06-27,Colombia,Portugal,2026,1,29.615384615384617,27.53846153846154,2.0769230769230766,22.0,21.0,1.0,37.0,41.0,-4.0,12.0,15.0,-3.0,26.0,26.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,9.0,17.0,-8.0,0.375,0.8095238095238095,-0.43452380952380953,,,,,,,3.0,3.0,0.0,8.0,9.0,-1.0,10.0,6.0,4.0,5.0,8.0,-3.0,,,,,,,,,,11.0,6.0,5.0,1697.0,1750.0,-53.0,1,0,0,3.0,4.0,-1.0,,,,
537414,2026-06-27,Croatia,Ghana,2026,1,27.884615384615383,26.423076923076923,1.46153846153846,19.0,20.0,-1.0,40.0,34.0,6.0,14.0,13.0,1.0,26.0,26.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,18.0,17.0,1.0,0.6923076923076923,0.68,0.012307692307692242,,,,,,,3.0,3.0,0.0,7.0,9.0,-2.0,10.0,6.0,4.0,6.0,8.0,-2.0,,,,,,,,,,,25.0,,,1530.0,,1,0,0,4.0,4.0,0.0,,,,
537413,2026-06-27,Panama,England,2026,1,30.0,26.615384615384617,3.3846153846153832,24.0,21.0,3.0,38.0,35.0,3.0,13.0,11.0,2.0,26.0,26.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1.0,25.0,-24.0,0.043478260869565216,0.9615384615384616,-0.9180602006688964,,,,,,,3.0,3.0,0.0,10.0,9.0,1.0,9.0,6.0,3.0,4.0,8.0,-4.0,,,,,,,,,,73.0,3.0,70.0,1240.0,1794.0,-554.0,1,0,0,4.0,4.0,0.0,,,,
537374,2026-06-27,Cape Verde Islands,Saudi Arabia,2026,1,29.192307692307693,27.96153846153846,1.2307692307692335,22.0,22.0,0.0,40.0,35.0,5.0,13.0,15.0,-2.0,26.0,26.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1.0,1.0,0.0,0.05263157894736842,0.038461538461538464,0.014170040485829954,,,,,,,3.0,3.0,0.0,9.0,10.0,-1.0,6.0,6.0,0.0,8.0,7.0,1.0,,,,,,,,,,,56.0,,,1340.0,,1,0,0,6.0,6.0,0.0,,,,
537367,2026-06-27,New Zealand,Belgium,2026,1,27.615384615384617,27.115384615384617,0.5,21.0,20.0,1.0,37.0,37.0,0.0,12.0,9.0,3.0,26.0,26.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,7.0,20.0,-13.0,0.2916666666666667,0.9523809523809523,-0.6607142857142856,,,,,,,3.0,3.0,0.0,9.0,9.0,0.0,10.0,6.0,4.0,4.0,8.0,-4.0,,,,,,,,,,95.0,5.0,90.0,1125.0,1761.0,-636.0,1,0,0,5.0,6.0,-1.0,,,,
537368,2026-06-27,Egypt,Iran,2026,1,28.692307692307693,29.807692307692307,-1.1153846153846132,18.0,20.0,-2.0,39.0,37.0,2.0,13.0,8.0,5.0,26.0,26.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,5.0,0.0,5.0,0.19230769230769232,0.0,0.19230769230769232,,,,,,,4.0,3.0,1.0,8.0,9.0,-1.0,7.0,8.0,-1.0,7.0,6.0,1.0,,,,,,,,,,34.0,,,1455.0,,,1,0,0,5.0,6.0,-1.0,,,,
537373,2026-06-27,Uruguay,Spain,2026,1,28.192307692307693,26.192307692307693,2.0,24.0,18.0,6.0,39.0,33.0,6.0,20.0,12.0,8.0,26.0,26.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,8.0,26.0,-18.0,0.3333333333333333,1.0,-0.6666666666666667,,,,,,,3.0,3.0,0.0,7.0,8.0,-1.0,11.0,7.0,4.0,5.0,8.0,-3.0,,,,,,,,,,10.0,8.0,2.0,1710.0,1735.0,-25.0,1,0,0,6.0,6.0,0.0,,,,
537401,2026-06-28,Jordan,Argentina,2026,1,28.076923076923077,28.615384615384617,-0.5384615384615401,20.0,21.0,-1.0,34.0,38.0,-4.0,11.0,14.0,-3.0,26.0,26.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1.0,20.0,-19.0,0.038461538461538464,0.8,-0.7615384615384616,,,,,,,3.0,3.0,0.0,9.0,8.0,1.0,7.0,8.0,-1.0,7.0,7.0,0.0,,,,,,,,,,,1.0,,,1867.0,,1,0,0,5.0,6.0,-1.0,,,,
537402,2026-06-28,Algeria,Austria,2026,1,26.46153846153846,28.115384615384617,-1.6538461538461569,20.0,20.0,0.0,35.0,37.0,-2.0,15.0,16.0,-1.0,26.0,26.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,13.0,18.0,-5.0,0.5652173913043478,0.72,-0.1547826086956522,,,,,,,3.0,3.0,0.0,9.0,9.0,0.0,7.0,11.0,-4.0,7.0,3.0,4.0,,,,,,,,,,,28.0,,,1510.0,,1,0,0,5.0,6.0,-1.0,,,,
